ADM_CD,시군구,행정동,총인구수,0-2세,3-6세,0-6세,기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),어린이집_정원,어린이집_현원,유치원_정원,유치원_현원,유형,key,코드,hjd_cd_x,거래건수,평당가,연식,단지수,hjd_cd_y,거래건수_3년,평당가_3년,연식_3년,단지수_3년,cov,fil,pop,logp,logcov,소형,분위
22010540,중구,삼덕동,7469,132,144,276,3,1,2,105,63,38.0,22.8,60.0,45,41,60,22,이중취약,중구|삼덕동,2711054500,2711054500.0,101.0,2094.057243828035,13.0,6.0,2711054500.0,237.0,2038.9504742536133,13.0,7.0,38.0,60.0,276,7.646858728128481,3.6635616461296463,0,5(고가)
22010560,중구,성내1동,5523,37,43,80,2,0,2,238,218,297.5,272.5,91.6,0,0,238,218,양호,중구|성내1동,2711056500,2711056500.0,59.0,1306.433765412583,20.0,4.0,2711056500.0,124.0,1234.6181920882364,12.0,4.0,297.5,91.6,80,7.175056387473951,5.698769932832657,1,3
22010590,중구,성내2동,9213,209,271,480,4,1,3,306,260,63.7,54.2,85.0,20,20,286,240,물리적부족,중구|성내2동,2711057500,2711057500.0,96.0,2402.3917628173444,4.0,9.0,2711057500.0,182.0,2248.0404670397998,4.0,11.0,63.7,85.0,480,7.784220087932534,4.169761201506855,0,5(고가)
22010610,중구,성내3동,13605,706,839,1545,5,4,1,283,282,18.3,18.3,99.6,223,223,60,59,물리적부족,중구|성내3동,2711058500,2711058500.0,368.0,2244.621729416916,3.0,6.0,2711058500.0,788.0,2096.9063409539563,3.0,8.0,18.3,99.6,1545,7.716292291287733,2.9601050959108397,0,5(고가)
22010620,중구,대신동,7263,189,208,397,5,4,1,397,310,100.0,78.1,78.1,157,132,240,178,양호,중구|대신동,2711059500,2711059500.0,192.0,2104.1606257558506,11.0,4.0,2711059500.0,549.0,2076.8844694960526,11.0,6.0,100.0,78.1,397,7.6516719139834715,4.61512051684126,0,5(고가)
22010640,중구,남산1동,5067,70,145,215,2,2,0,87,50,40.5,23.3,57.5,87,50,0,0,이중취약,중구|남산1동,2711064000,2711064000.0,55.0,1763.1597599556364,12.0,4.0,2711064000.0,122.0,1774.8363146573292,12.0,4.0,40.5,57.5,215,7.474862796531444,3.7256934272366524,0,4
22010650,중구,남산2동,7388,261,244,505,5,4,1,450,312,89.1,61.8,69.3,260,227,190,85,물리적부족,중구|남산2동,2711065000,2711065000.0,248.0,2901.8907681287137,5.0,6.0,2711065000.0,649.0,2798.388689983529,5.0,6.0,89.1,69.3,505,7.973117792531972,4.500920164614292,0,5(고가)
22010660,중구,남산3동,5765,84,91,175,3,2,1,418,393,238.9,224.6,94.0,282,270,136,123,양호,중구|남산3동,2711066000,2711066000.0,87.0,1710.6974123460514,12.0,3.0,2711066000.0,227.0,1711.539683473554,12.0,3.0,238.9,94.0,175,7.444656409828384,5.480222169845649,0,4
22010670,중구,남산4동,15836,396,465,861,9,8,1,601,491,69.8,57.0,81.7,441,392,160,99,물리적부족,중구|남산4동,2711067000,2711067000.0,490.0,2742.754243644324,4.0,8.0,2711067000.0,1141.0,2468.2526356331177,4.0,9.0,69.8,81.7,861,7.916717892918835,4.259859000699674,0,5(고가)
22010680,중구,대봉1동,7692,116,199,315,3,3,0,108,93,34.3,29.5,86.1,108,93,0,0,물리적부족,중구|대봉1동,2711068000,2711068000.0,135.0,1867.0902608634265,11.0,4.0,2711068000.0,366.0,1772.574951192526,11.0,4.0,34.3,86.1,315,7.532136487773992,3.563882963939251,0,4
22010690,중구,대봉2동,5946,209,189,398,3,3,0,124,121,31.2,30.4,97.6,124,121,0,0,물리적부족,중구|대봉2동,2711069000,2711069000.0,245.0,2341.840077924378,4.0,4.0,2711069000.0,477.0,2291.1670016332564,4.0,4.0,31.2,97.6,398,7.758692257421556,3.4719664525503626,0,5(고가)
22010700,중구,동인동,10987,278,201,479,6,5,1,311,240,64.9,50.1,77.2,275,230,36,10,물리적부족,중구|동인동,2711051700,2711051700.0,106.0,1934.8937463003967,3.0,10.0,2711051700.0,199.0,1832.604408462134,3.0,12.0,64.9,77.2,479,7.5678076924835285,4.188138441508461,0,4
22020510,동구,신암1동,10784,228,328,556,5,4,1,516,157,92.8,28.2,30.4,186,139,330,18,이중취약,동구|신암1동,2714051000,2714051000.0,199.0,2003.5953189065524,2.0,3.0,2714051000.0,444.0,1906.342384243132,5.0,4.0,92.8,30.4,556,7.602698505139423,4.541164856012179,0,4
22020520,동구,신암2동,11443,251,364,615,8,6,2,551,450,89.6,73.2,81.7,331,255,220,195,물리적부족,동구|신암2동,2714052000,2714052000.0,257.0,1620.2783949810482,13.0,7.0,2714052000.0,727.0,1493.944323933478,13.0,8.0,89.6,81.7,615,7.390353262215857,4.506454213048934,0,4
22020530,동구,신암3동,11130,428,403,831,10,7,3,665,553,80.0,66.5,83.2,372,290,293,263,물리적부족,동구|신암3동,2714053000,2714053000.0,267.0,2103.330085293449,6.0,8.0,2714053000.0,902.0,1928.86094848499,6.0,8.0,80.0,83.2,831,7.6512771226314635,4.394449154672439,0,5(고가)
22020540,동구,신암4동,18431,554,408,962,7,6,1,402,303,41.8,31.5,75.4,384,293,18,10,물리적부족,동구|신암4동,2714054000,2714054000.0,346.0,2305.4569038577038,3.0,21.0,2714054000.0,626.0,2022.275572704644,3.0,28.0,41.8,75.4,962,7.743034158718938,3.756538102587751,0,5(고가)
22020550,동구,신암5동,7330,117,132,249,5,5,0,369,257,148.2,103.2,69.6,369,257,0,0,양호,동구|신암5동,2714054100,2714054100.0,88.0,1835.6218596697413,2.0,5.0,2714054100.0,184.0,1767.2075050966162,2.0,5.0,148.2,69.6,249,7.515138591182469,5.005287687769661,0,4
22020560,동구,신천1·2동,11022,70,106,176,4,4,0,183,42,104.0,23.9,23.0,183,42,0,0,질적미스매치,동구|신천1.2동,2714055500,2714055500.0,205.0,1061.2520064205455,15.0,13.0,2714055500.0,582.0,1022.4947902499772,24.0,14.0,104.0,23.0,176,6.967204628243836,4.653960350157523,0,3
22020580,동구,신천3동,14711,364,387,751,8,7,1,532,381,70.8,50.7,71.6,428,298,104,83,물리적부족,동구|신천3동,2714057000,2714057000.0,266.0,1981.3200085997591,4.0,16.0,2714057000.0,774.0,1820.2316932158903,8.0,18.0,70.8,71.6,751,7.59151857257216,4.273884476054178,0,4
22020590,동구,신천4동,12699,341,328,669,3,2,1,137,120,20.5,17.9,87.6,97,97,40,23,물리적부족,동구|신천4동,2714058000,2714058000.0,187.0,2606.9903895385446,1.0,12.0,2714058000.0,378.0,2201.7156099999056,5.0,14.0,20.5,87.6,669,7.865951727520319,3.068052935133617,0,5(고가)
22020600,동구,효목1동,11494,44,78,122,4,3,1,366,215,300.0,176.2,58.7,198,130,168,85,질적미스매치,동구|효목1동,2714059000,2714059000.0,45.0,965.0289330326244,28.0,5.0,2714059000.0,140.0,1002.5730634828268,28.0,9.0,300.0,58.7,122,6.87215808330675,5.707110264748875,0,2
22020610,동구,효목2동,14137,231,246,477,6,6,0,319,134,66.9,28.1,42.0,319,134,0,0,이중취약,동구|효목2동,2714060000,2714060000.0,173.0,966.6081871345028,23.0,14.0,2714060000.0,471.0,913.5156319454734,23.0,22.0,66.9,42.0,477,6.873793229408739,4.21803603456465,0,2
22020620,동구,도평동,3381,20,28,48,1,1,0,86,45,179.2,93.8,52.3,86,45,0,0,질적미스매치,동구|도평동,2714061500,2714061500.0,4.0,399.7839866555463,36.0,2.0,2714061500.0,26.0,549.165341117598,36.0,3.0,179.2,52.3,48,5.990924367876313,5.194067345174237,1,1(저가)
22020630,동구,불로·봉무동,19408,238,436,674,11,6,5,1026,712,152.2,105.6,69.4,240,122,786,590,양호,동구|불로.봉무동,2714062000,2714062000.0,253.0,1392.0525525314767,13.0,14.0,2714062000.0,787.0,1362.2951900570336,13.0,17.0,152.2,69.4,674,7.2385345934371,5.0317442573064906,0,3
22020650,동구,지저동,12351,65,129,194,3,2,1,217,73,111.9,37.6,33.6,169,39,48,34,질적미스매치,동구|지저동,2714064000,2714064000.0,59.0,882.7383634573342,24.0,12.0,2714064000.0,182.0,912.4406155904984,24.0,15.0,111.9,33.6,194,6.78302885257189,4.726502471155617,0,2
22020660,동구,동촌동,13831,91,170,261,6,5,1,316,169,121.1,64.8,53.5,194,103,122,66,질적미스매치,동구|동촌동,2714065500,2714065500.0,61.0,1053.3339111194946,11.0,16.0,2714065500.0,172.0,984.1281836813872,11.0,31.0,121.1,53.5,261,6.9597155664438635,4.804840381116659,0,3
22020680,동구,방촌동,16744,117,156,273,6,4,2,547,216,200.4,79.1,39.5,211,82,336,134,질적미스매치,동구|방촌동,2714067000,2714067000.0,138.0,972.8092184897632,28.0,14.0,2714067000.0,488.0,1041.9532854334664,28.0,15.0,200.4,39.5,273,6.880187987410592,5.305292980284462,0,2
22020690,동구,해안동,12949,98,146,244,3,3,0,218,90,89.3,36.9,41.3,218,90,0,0,이중취약,동구|해안동,2714068500,2714068500.0,16.0,1245.6140742940297,8.0,6.0,2714068500.0,46.0,952.4737656829388,11.5,7.0,89.3,41.3,244,7.127383919664391,4.5031374604229395,0,3
22020710,동구,공산동,19685,248,373,621,8,5,3,722,382,116.3,61.5,52.9,214,165,508,217,질적미스매치,동구|공산동,2714076000,2714076000.0,143.0,1201.307551258543,6.0,11.0,2714076000.0,477.0,1239.3175045659907,6.0,13.0,116.3,52.9,621,7.091165868613294,4.76473475565943,0,3
22020730,동구,안심1동,37224,349,676,1025,20,18,2,1397,734,136.3,71.6,52.5,1023,456,374,278,질적미스매치,동구|안심1동,2714072000,2714072000.0,281.0,1221.7579821687116,15.0,18.0,2714072000.0,846.0,1233.033244549932,15.0,22.0,136.3,52.5,1025,7.108046069518496,4.922168312773925,0,3
22020740,동구,안심2동,16986,433,451,884,10,8,2,889,514,100.6,58.1,57.8,349,266,540,248,질적미스매치,동구|안심2동,2714073000,2714073000.0,130.0,1378.9839886189409,4.0,14.0,2714073000.0,340.0,1166.9890848501109,6.0,14.0,100.6,57.8,884,7.229102266862183,4.6210435351443815,0,3
22020760,동구,안심3동,19897,338,479,817,14,10,4,777,419,95.1,51.3,53.9,309,177,468,242,이중취약,동구|안심3동,2714074200,2714074200.0,269.0,937.7639612670476,23.0,10.0,2714074200.0,795.0,972.5229465756648,23.0,10.0,95.1,53.9,817,6.843498276899209,4.565389315976247,0,2
22020770,동구,안심4동,26329,295,520,815,17,14,3,1403,733,172.1,89.9,52.2,841,330,562,403,질적미스매치,동구|안심4동,2714074700,2714074700.0,291.0,939.1477272727273,17.0,30.0,2714074700.0,875.0,961.5168722450024,17.0,42.0,172.1,52.2,815,6.844972790873247,5.153869462182164,0,2
22020780,동구,혁신동,16510,268,587,855,17,14,3,1194,735,139.6,86.0,61.6,707,357,487,378,질적미스매치,동구|혁신동,2714075500,2714075500.0,141.0,1052.8727697181926,11.0,9.0,2714075500.0,418.0,1092.35906994861,11.0,9.0,139.6,61.6,855,6.959277678355419,4.9459189793765646,0,2
22030510,서구,내당1동,14642,358,373,731,5,4,1,358,318,49.0,43.5,88.8,180,147,178,171,물리적부족,서구|내당1동,2717051000,2717051000.0,454.0,2354.290941382628,1.0,11.0,2717051000.0,639.0,2315.340246960084,4.0,16.0,49.0,88.8,731,7.76399487465316,3.912023005428146,0,5(고가)
22030520,서구,내당2·3동,8062,35,54,89,3,1,2,185,169,207.9,189.9,91.4,47,44,138,125,양호,서구|내당2.3동,2717052500,2717052500.0,5.0,719.2535564853557,21.0,4.0,2717052500.0,15.0,719.2535564853557,38.0,5.0,207.9,91.4,89,6.57821394713317,5.34185566856252,1,1(저가)
22030530,서구,내당4동,14158,52,94,146,2,1,1,262,135,179.5,92.5,51.5,62,32,200,103,질적미스매치,서구|내당4동,2717054000,2717054000.0,82.0,841.4416067610659,45.0,9.0,2717054000.0,231.0,908.54057563298,45.0,10.0,179.5,51.5,146,6.7351166193765115,5.195730777772936,0,2
22030540,서구,비산1동,7771,28,49,77,3,2,1,141,60,183.1,77.9,42.6,123,57,18,3,질적미스매치,서구|비산1동,2717055000,2717055000.0,2.0,553.0843319014244,47.0,1.0,2717055000.0,10.0,627.8254578340493,47.0,3.0,183.1,42.6,77,6.315510488813142,5.215479088239032,1,1(저가)
22030550,서구,비산2·3동,7542,14,33,47,3,2,1,245,155,521.3,329.8,63.3,227,149,18,6,질적미스매치,서구|비산2.3동,2717056500,2717056500.0,2.0,848.8721003818424,14.5,2.0,2717056500.0,5.0,901.5725044162766,10.0,2.0,521.3,63.3,47,6.743908527591682,6.258242135442253,1,2
22030560,서구,비산4동,8153,21,42,63,3,2,1,153,97,242.9,154.0,63.4,73,49,80,48,질적미스매치,서구|비산4동,2717058000,2717058000.0,12.0,862.7841955212039,21.0,2.0,2717058000.0,40.0,939.4000183171744,21.0,3.0,242.9,63.4,63,6.760164596685205,5.496758305221874,1,2
22030570,서구,비산5동,4747,18,24,42,3,2,1,234,201,557.1,478.6,85.9,138,107,96,94,양호,서구|비산5동,2717059000,2717059000.0,14.0,590.3084621226037,44.0,3.0,2717059000.0,37.0,638.6862283402766,44.0,3.0,557.1,85.9,42,6.380645217435448,6.324538157794388,1,1(저가)
22030590,서구,비산7동,9144,91,101,192,2,2,0,186,130,96.9,67.7,69.9,186,130,0,0,물리적부족,서구|비산7동,2717061000,2717061000.0,12.0,693.2784713214734,16.0,8.0,2717061000.0,26.0,725.4351109013685,22.0,9.0,96.9,69.9,192,6.541431752994756,4.583946549536464,0,1(저가)
22030600,서구,평리1동,6160,19,52,71,1,1,0,120,119,169.0,167.6,99.2,120,119,0,0,양호,서구|평리1동,2717062000,2717062000.0,3.0,936.6553017066328,11.0,3.0,2717062000.0,5.0,936.6553017066328,11.0,3.0,169.0,99.2,71,6.842315340176783,5.135798437050262,1,2
22030610,서구,평리2동,6853,37,90,127,2,2,0,65,54,51.2,42.5,83.1,65,54,0,0,물리적부족,서구|평리2동,2717063000,2717063000.0,52.0,1099.1591723072977,17.0,1.0,2717063000.0,196.0,1128.340389271208,17.0,1.0,51.2,83.1,127,7.002300777680826,3.955082494888593,0,3
22030620,서구,평리3동,12104,234,264,498,6,4,2,419,320,84.1,64.3,76.4,271,200,148,120,물리적부족,서구|평리3동,2717064000,2717064000.0,96.0,1891.0252094510136,3.0,2.0,2717064000.0,149.0,1882.813704008952,3.0,3.0,84.1,76.4,498,7.544874399849879,4.443827035579329,0,4
