ADM_CD,시군구,행정동,시가지,면적,총인구수,0-2세,3-6세,0-6세,영유아비율(%),기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),유형,반경커버율(%),반경신뢰도,반경주의,인접동수_1_5km,시설수_1km,시설수_1_5km,유형_최종,평당가,연식,거래건수
22010540,중구,삼덕동,Y,0.64,7469,132,144,276,3.7,3,1,2,105,63,38.0,22.8,60.0,이중취약,67.8,정상,N,10,21,49,이중취약,2094.057243828035,13.0,101.0
22010560,중구,성내1동,Y,0.78,5523,37,43,80,1.45,2,0,2,238,218,297.5,272.5,91.6,양호,66.8,정상,N,9,19,40,물리적부족,1306.433765412583,20.0,59.0
22010590,중구,성내2동,Y,0.94,9213,209,271,480,5.21,4,1,3,306,260,63.7,54.2,85.0,물리적부족,75.6,정상,N,10,23,53,물리적부족,2402.3917628173444,4.0,96.0
22010610,중구,성내3동,Y,0.75,13605,706,839,1545,11.36,5,4,1,283,282,18.3,18.3,99.6,물리적부족,63.4,정상,N,10,24,57,물리적부족,2244.621729416916,3.0,368.0
22010620,중구,대신동,Y,0.49,7263,189,208,397,5.47,5,4,1,397,310,100.0,78.1,78.1,양호,92.9,정상,N,14,26,54,물리적부족,2104.1606257558506,11.0,192.0
22010640,중구,남산1동,Y,0.38,5067,70,145,215,4.24,2,2,0,87,50,40.5,23.3,57.5,이중취약,78.3,정상,N,11,21,45,이중취약,1763.1597599556364,12.0,55.0
22010650,중구,남산2동,Y,0.37,7388,261,244,505,6.84,5,4,1,450,312,89.1,61.8,69.3,물리적부족,81.4,정상,N,11,29,43,물리적부족,2901.8907681287137,5.0,248.0
22010660,중구,남산3동,Y,0.4,5765,84,91,175,3.04,3,2,1,418,393,238.9,224.6,94.0,양호,94.7,정상,N,9,29,48,물리적부족,1710.6974123460514,12.0,87.0
22010670,중구,남산4동,Y,0.45,15836,396,465,861,5.44,9,8,1,601,491,69.8,57.0,81.7,물리적부족,92.7,정상,N,10,29,45,물리적부족,2742.754243644324,4.0,490.0
22010680,중구,대봉1동,Y,0.55,7692,116,199,315,4.1,3,3,0,108,93,34.3,29.5,86.1,물리적부족,65.5,정상,N,10,18,40,물리적부족,1867.0902608634265,11.0,135.0
22010690,중구,대봉2동,Y,0.28,5946,209,189,398,6.69,3,3,0,124,121,31.2,30.4,97.6,물리적부족,62.6,정상,N,11,16,38,물리적부족,2341.840077924378,4.0,245.0
22010700,중구,동인동,Y,0.99,10987,278,201,479,4.36,6,5,1,311,240,64.9,50.1,77.2,물리적부족,74.3,정상,N,8,18,57,물리적부족,1934.8937463003967,3.0,106.0
22020510,동구,신암1동,Y,0.62,10784,228,328,556,5.16,5,4,1,516,157,92.8,28.2,30.4,이중취약,106.6,정상,N,9,25,60,질적미스매치,2003.5953189065524,2.0,199.0
22020520,동구,신암2동,Y,0.36,11443,251,364,615,5.37,8,6,2,551,450,89.6,73.2,81.7,물리적부족,90.7,정상,N,7,35,57,물리적부족,1620.2783949810482,13.0,257.0
22020530,동구,신암3동,Y,0.6,11130,428,403,831,7.47,10,7,3,665,553,80.0,66.5,83.2,물리적부족,84.4,정상,N,7,35,58,물리적부족,2103.330085293449,6.0,267.0
22020540,동구,신암4동,Y,1.15,18431,554,408,962,5.22,7,6,1,402,303,41.8,31.5,75.4,물리적부족,114.6,정상,N,7,24,54,양호,2305.456903857704,3.0,346.0
22020550,동구,신암5동,Y,0.53,7330,117,132,249,3.4,5,5,0,369,257,148.2,103.2,69.6,양호,108.1,정상,N,4,21,37,양호,1835.6218596697413,2.0,88.0
22020560,동구,신천1·2동,Y,0.45,11022,70,106,176,1.6,4,4,0,183,42,104.0,23.9,23.0,질적미스매치,84.1,정상,N,9,38,65,이중취약,1061.2520064205455,15.0,205.0
22020580,동구,신천3동,Y,0.74,14711,364,387,751,5.11,8,7,1,532,381,70.8,50.7,71.6,물리적부족,77.0,정상,N,9,34,62,물리적부족,1981.3200085997591,4.0,266.0
22020590,동구,신천4동,Y,0.79,12699,341,328,669,5.27,3,2,1,137,120,20.5,17.9,87.6,물리적부족,98.0,정상,N,8,25,67,물리적부족,2606.9903895385446,1.0,187.0
