ADM_CD,시군구,행정동,총인구수,0-2세,3-6세,0-6세,면적,기관수,어린이집수,유치원수,정원,현원,커버율(%),이용률(%),충원율(%),유형,E2SFCA_750,반경커버율(%),E2SFCA_1500,유형_반경보정,커버율_1000m,이용률_1000m,커버율_1500m,이용률_1500m,커버율_2000m,이용률_2000m,평당가,연식,거래건수,시가지
22010540,중구,삼덕동,7469,132,144,276,0.64,3,1,2,105,63,38.0,22.8,60.0,이중취약,74.8,67.8,73.2,이중취약,99.0,74.6,77.6,58.2,78.1,59.8,2094.057243828035,13.0,101.0,Y
22010560,중구,성내1동,5523,37,43,80,0.78,2,0,2,238,218,297.5,272.5,91.6,양호,75.3,66.8,73.4,물리적부족,64.1,54.3,85.8,69.9,68.5,54.8,1306.433765412583,20.0,59.0,Y
22010590,중구,성내2동,9213,209,271,480,0.94,4,1,3,306,260,63.7,54.2,85.0,물리적부족,76.5,75.6,76.5,물리적부족,59.8,49.7,61.4,51.9,66.8,51.1,2402.3917628173444,4.0,96.0,Y
22010610,중구,성내3동,13605,706,839,1545,0.75,5,4,1,283,282,18.3,18.3,99.6,물리적부족,46.5,63.4,88.5,물리적부족,49.4,33.1,61.6,46.3,77.3,61.4,2244.621729416916,3.0,368.0,Y
22010620,중구,대신동,7263,189,208,397,0.49,5,4,1,397,310,100.0,78.1,78.1,양호,89.6,92.9,81.4,물리적부족,85.4,72.3,78.1,63.5,69.8,52.3,2104.1606257558506,11.0,192.0,Y
22010640,중구,남산1동,5067,70,145,215,0.38,2,2,0,87,50,40.5,23.3,57.5,이중취약,86.0,78.3,71.2,이중취약,78.2,66.1,77.1,62.9,67.6,54.7,1763.1597599556364,12.0,55.0,Y
22010650,중구,남산2동,7388,261,244,505,0.37,5,4,1,450,312,89.1,61.8,69.3,물리적부족,97.8,81.4,76.0,물리적부족,90.1,73.1,59.0,49.7,57.0,46.2,2901.8907681287137,5.0,248.0,Y
22010660,중구,남산3동,5765,84,91,175,0.4,3,2,1,418,393,238.9,224.6,94.0,양호,112.1,94.7,80.7,물리적부족,101.0,83.0,95.6,76.3,76.2,60.3,1710.6974123460514,12.0,87.0,Y
22010670,중구,남산4동,15836,396,465,861,0.45,9,8,1,601,491,69.8,57.0,81.7,물리적부족,102.9,92.7,82.1,물리적부족,112.5,94.6,87.7,69.3,72.7,56.9,2742.754243644324,4.0,490.0,Y
22010680,중구,대봉1동,7692,116,199,315,0.55,3,3,0,108,93,34.3,29.5,86.1,물리적부족,68.6,65.5,70.5,물리적부족,83.6,63.3,69.6,52.2,85.3,66.7,1867.0902608634265,11.0,135.0,Y
22010690,중구,대봉2동,5946,209,189,398,0.28,3,3,0,124,121,31.2,30.4,97.6,물리적부족,52.3,62.6,76.0,물리적부족,57.0,50.6,68.8,54.9,71.7,56.4,2341.840077924378,4.0,245.0,Y
22010700,중구,동인동,10987,278,201,479,0.99,6,5,1,311,240,64.9,50.1,77.2,물리적부족,51.7,74.3,79.6,물리적부족,54.3,39.3,123.4,91.2,72.1,54.1,1934.8937463003967,3.0,106.0,Y
22020510,동구,신암1동,10784,228,328,556,0.62,5,4,1,516,157,92.8,28.2,30.4,이중취약,82.5,106.6,125.8,질적미스매치,76.5,51.3,82.7,57.0,102.6,69.0,2003.5953189065524,2.0,199.0,Y
22020520,동구,신암2동,11443,251,364,615,0.36,8,6,2,551,450,89.6,73.2,81.7,물리적부족,118.2,90.7,86.3,물리적부족,73.9,55.6,102.8,71.1,79.7,56.1,1620.2783949810482,13.0,257.0,Y
22020530,동구,신암3동,11130,428,403,831,0.6,10,7,3,665,553,80.0,66.5,83.2,물리적부족,82.6,84.4,99.8,물리적부족,72.3,54.8,80.9,55.4,100.7,69.7,2103.330085293449,6.0,267.0,Y
22020540,동구,신암4동,18431,554,408,962,1.15,7,6,1,402,303,41.8,31.5,75.4,물리적부족,96.3,114.6,109.2,양호,101.4,64.7,107.6,66.9,94.5,63.1,2305.456903857704,3.0,346.0,Y
22020550,동구,신암5동,7330,117,132,249,0.53,5,5,0,369,257,148.2,103.2,69.6,양호,140.6,108.1,91.9,양호,98.0,63.7,126.6,84.4,82.2,53.1,1835.6218596697413,2.0,88.0,Y
22020560,동구,신천1·2동,11022,70,106,176,0.45,4,4,0,183,42,104.0,23.9,23.0,질적미스매치,91.0,84.1,84.2,이중취약,56.0,41.3,75.7,56.7,79.4,56.2,1061.2520064205455,15.0,205.0,Y
22020580,동구,신천3동,14711,364,387,751,0.74,8,7,1,532,381,70.8,50.7,71.6,물리적부족,73.3,77.0,100.0,물리적부족,70.8,52.5,61.3,47.6,88.2,62.8,1981.3200085997591,4.0,266.0,Y
22020590,동구,신천4동,12699,341,328,669,0.79,3,2,1,137,120,20.5,17.9,87.6,물리적부족,74.9,98.0,99.3,물리적부족,61.4,47.9,85.6,62.6,80.9,59.9,2606.9903895385446,1.0,187.0,Y
22020600,동구,효목1동,11494,44,78,122,1.32,4,3,1,366,215,300.0,176.2,58.7,질적미스매치,148.7,111.9,95.3,질적미스매치,85.5,47.1,95.3,58.5,92.0,60.1,965.0289330326244,28.0,45.0,Y
22020610,동구,효목2동,14137,231,246,477,0.78,6,6,0,319,134,66.9,28.1,42.0,이중취약,129.1,110.7,100.3,질적미스매치,97.7,52.0,148.1,68.1,217.6,114.8,966.6081871345028,23.0,173.0,Y
22020620,동구,도평동,3381,20,28,48,21.3,1,1,0,86,45,179.2,93.8,52.3,질적미스매치,385.4,385.4,93.6,질적미스매치,179.2,93.8,385.4,166.7,108.2,46.6,399.7839866555463,36.0,4.0,Y
22020630,동구,불로·봉무동,19408,238,436,674,7.61,11,6,5,1026,712,152.2,105.6,69.4,양호,114.2,144.4,144.4,양호,114.2,73.0,152.2,105.6,181.5,114.4,1392.0525525314767,13.0,253.0,Y
22020650,동구,지저동,12351,65,129,194,2.27,3,2,1,217,73,111.9,37.6,33.6,질적미스매치,82.8,80.3,91.0,이중취약,139.7,81.9,82.6,57.7,98.9,60.6,882.7383634573342,24.0,59.0,Y
22020660,동구,동촌동,13831,91,170,261,3.24,6,5,1,316,169,121.1,64.8,53.5,질적미스매치,110.1,99.2,99.5,이중취약,159.0,82.0,144.5,73.0,169.1,77.9,1053.3339111194946,11.0,61.0,Y
22020680,동구,방촌동,16744,117,156,273,1.33,6,4,2,547,216,200.4,79.1,39.5,질적미스매치,175.0,137.4,100.0,질적미스매치,270.0,103.3,82.2,37.4,128.4,61.2,972.8092184897632,28.0,138.0,Y
22020690,동구,해안동,12949,98,146,244,13.27,3,3,0,218,90,89.3,36.9,41.3,이중취약,15.4,39.6,113.7,이중취약,40.6,18.4,96.7,37.3,95.0,44.5,1245.6140742940297,8.0,16.0,Y
22020710,동구,공산동,19685,248,373,621,83.53,8,5,3,722,382,116.3,61.5,52.9,질적미스매치,131.6,142.5,155.4,질적미스매치,121.1,62.6,159.7,78.3,251.0,143.5,1201.307551258543,6.0,143.0,Y
